source,target
Aku rampung perawatan,Saya selesai rawatan
Aku bali omah,Saya pulang ke rumah
Aku bakal ngombe obat,Saya akan makan ubat
Aku nuruti arahan dokter,Saya ikut arahan doktor
Aku kudu teka maneh,Saya perlu datang semula
Muga cepet waras,Saya harap cepat sihat
Aku bakal njaga kesehatan,Saya akan jaga kesihatan
Aku ngombe banyu akeh,Saya minum air banyak
Aku ngombe obat pas wektu,Saya makan ubat ikut masa
Aku ora nglirwakake gejala,Saya tidak abaikan simptom
Aku bakal istirahat cukup,Saya akan rehat secukupnya
Aku diare,Saya mengalami cirit-birit
Aku bolak-balik kamar mandi,Saya ke tandas berkali-kali
Perutku mules,Saya rasa perut memulas
Aku demam mung bengi,Saya demam waktu malam sahaja
Aku lara nek ambegan jero,Saya sakit bila tarik nafas dalam
Aku ora iso turu lurus,Saya tidak boleh baring rata
Aku krasa deg-degan,Saya rasa jantung berdebar
Aku kringetan banget,Saya peluh berlebihan
Tanganku gemeter,Saya tangan menggigil
Sikilku lemes,Saya kaki rasa lemah
Aku lara nek dipencet,Saya sakit bila tekan perut
Aku ora iso ngadeg suwe,Saya tidak boleh berdiri lama
Aku krasa arep pingsan,Saya rasa nak pengsan
Aku sempat pingsan wingi,Saya pernah pengsan semalam
Aku butuh pengawasan dokter,Saya perlukan pemerhatian doktor
Aku masalah turu bengi,Saya ada masalah tidur malam
Aku kerep tangi tengah wengi,Saya kerap terjaga tengah malam
Aku ngimpi elek wiwit lara,Saya mimpi buruk sejak sakit
Aku napsu mangan mudhun,Saya selera makan berkurang
Aku bobot mudhun,Saya berat badan turun
Perut ndhuwurku lara,Saya sakit di bahagian perut atas
Perut ngisor lara,Saya sakit di bahagian bawah perut
Aku kencing lara,Saya kencing sakit
Aku kencing ana getih,Saya kencing berdarah
Aku kerep kencing bengi,Saya kerap kencing malam
Aku pipis keruh,Saya air kencing keruh
Aku kudu tes urin,Saya perlukan ujian air kencing
Aku tenggorokan garing,Saya rasa tekak kering
Aku terus ngelak,Saya dahaga sepanjang masa
Aku lara nek ngomong,Saya sakit bila bercakap
Aku ilang swara,Saya suara hilang
Aku angel ngulu panganan,Saya sukar menelan makanan
Aku butuh obat tenggorokan,Saya perlukan ubat tekak
Aku watuk suwe,Saya batuk berpanjangan
Aku watuk getih,Saya batuk darah
Aku sesek nek mlaku,Saya sesak nafas bila berjalan
Aku butuh oksigen,Saya perlukan oksigen
Aku tetep kesel sanajan istirahat,Saya letih walaupun rehat
Aku migrain,Saya sakit kepala sebelah
Aku sensitif cahya,Saya sensitif pada cahaya
Aku kuping muni,Saya telinga berdengung
Aku ilang imbangan,Saya hilang keseimbangan
Aku kudu tes kuping,Saya perlukan ujian telinga
Mripatku abang,Saya mata merah
Mripatku metu banyu,Saya mata berair
Aku ora iso mbukak mripat suwe,Saya tidak boleh buka mata lama
Aku butuh tetes mata,Saya perlukan titis mata
Aku lara nek ndelok cahya,Saya sakit bila melihat cahaya
Kulitku garing,Saya kulit kering
Kulitku pecah,Saya kulit merekah
Aku ana luka bernanah,Saya ada luka bernanah
Aku butuh antibiotik,Saya perlukan antibiotik
Aku alergi panganan tartamtu,Saya alergi makanan tertentu
Aku gatel sakwise mangan,Saya gatal selepas makan
Aku pasuryan bengkak,Saya bengkak di muka
Lamunku bengkak,Saya bibir bengkak
Aku mendadak angel ambegan,Saya sukar bernafas tiba-tiba
Aku kudu menyang IGD,Saya perlukan rawatan segera di kecemasan
Aku digawa ambulans,Saya dibawa dengan ambulans
Aku lara sakwise kecelakaan,Saya sakit selepas kemalangan
Endhasku luka,Saya luka di kepala
Aku mumet sakwise tiba,Saya pening selepas jatuh
Aku muntah sakwise mangan,Saya muntah selepas makan
Aku ora kuat nahan lara,Saya tidak boleh tahan sakit
Aku butuh obat kuat,Saya perlukan ubat kuat
Aku diwenehi obat anyar,Saya diberi ubat baru
Aku ora ngerti cara ngombe obat,Saya tidak pasti cara makan ubat
Aku butuh penjelasan dokter,Saya perlu penjelasan doktor
Aku teka karo keluarga,Saya datang bersama keluarga
Aku nunggu njaba klinik,Saya menunggu di luar klinik
Aku mlebu ruang perawatan,Saya masuk bilik rawatan
Aku dicek suhu badan,Saya diperiksa suhu badan
Aku dicek tekanan getih,Saya tekanan darah diperiksa
Dokter takon riwayatku,Saya ditanya sejarah penyakit
Dokter menehi saran,Saya diberi nasihat kesihatan
Aku kudu ngombe obat saben dina,Saya perlu minum ubat setiap hari
Aku kudu bali minggu ngarep,Saya perlu kembali minggu depan
Aku bakal nuruti jadwal,Saya akan ikut jadual rawatan
Aku kudu ngawasi kondisi,Saya perlu pantau keadaan
Aku luwih stabil,Saya keadaan semakin stabil
Aku isih dirawat,Saya masih dalam rawatan
Aku bakal mari cepet,Saya akan sembuh tidak lama lagi
Aku kudu ngindari panganan tartamtu,Saya perlu elak makanan tertentu
Aku kudu ngombe banyu cukup,Saya perlu minum air secukupnya
Aku kudu turu luwih awal,Saya perlu tidur awal
Aku bakal jaga diet,Saya akan jaga diet
Aku bakal olahraga entheng,Saya akan bersenam ringan
Yen lara maneh aku bakal bali,Saya akan kembali jika sakit berulang
Aku bakal nuruti kabeh arahan,Saya akan ikut semua arahan
Muga kesehatan luwih apik,Saya harap kesihatan bertambah baik
Awakku gemeter banget,Saya rasa badan menggigil kuat
Aku lara nek watuk banter,Saya sakit bila batuk kuat
Aku ora iso ambegan dawa,Saya tidak boleh tarik nafas panjang
Dadaku krasa sesek,Saya dada rasa ketat
Endhasku krasa abot,Saya kepala rasa berat
Aku krasa arep semaput,Saya rasa hendak pitam
Tanganku dumadakan kebas,Saya tangan rasa kebas tiba-tiba
Sikilku krasa adhem,Saya kaki rasa sejuk
Awakku lemes wiwit esuk,Saya badan lemah sejak pagi
Aku ora iso mangan sega,Saya tidak boleh makan nasi
Aku ngombe obat sadurunge turu,Saya minum ubat sebelum tidur
Aku tangi karo mumet,Saya bangun dengan sakit kepala
Aku luwih lara bengi,Saya sakit bertambah waktu malam
Aku butuh perawatan saiki,Saya perlukan rawatan segera sekarang
Aku ora tahan lara iki,Saya tidak boleh menahan sakit ini
Awakku panas lan adhem gantian,Saya badan rasa panas dan sejuk
Aku watuk nganti tenggorokan lara,Saya batuk sampai sakit tekak
Swara ku saya alon,Saya suara semakin perlahan
Aku angel ngomong suwe,Saya sukar bercakap lama
Aku cepet kesel nek ngomong,Saya cepat letih bila bercakap
Aku krasa tekanan neng endhas,Saya rasa tekanan di kepala
Aku ora kuat cahya padhang,Saya mata tidak tahan cahaya terang
Aku pandelenganku peteng sedhela,Saya penglihatan jadi gelap sekejap
Telingaku lara nek didemek,Saya telinga sakit bila disentuh
Kupingku muni nging,Saya rasa berdengung dalam telinga
Irungku terus metu banyu,Saya hidung berair sepanjang hari
Aku ora iso mandheg wahing,Saya tidak boleh berhenti bersin
Mripat sekitar lara,Saya sakit di sekitar mata
Pasuryanku kaku,Saya muka rasa tegang
Rahangku lara nek mangan,Saya rahang sakit bila makan
Untuku sensitif adhem,Saya gigi sensitif pada sejuk
Gusiku getihen,Saya gusi berdarah
Cangkemku garing terus,Saya mulut kering sepanjang masa
Aku ambegan ambune ora enak,Saya bau mulut kuat
Aku krasa pait ing ilat,Saya lidah terasa pahit
Aku ora krasa rasa panganan,Saya sukar rasa makanan
Perutku kembung,Saya perut kembung
Aku kerep sendawa,Saya sendawa berlebihan
Dadaku krasa panas,Saya rasa panas di dada
Aku muntah sakwise ngombe obat,Saya muntah selepas minum ubat
Aku ora iso ngombe susu,Saya tidak boleh minum susu
Aku alergi obat tartamtu,Saya alergi ubat tertentu
Kulitku metu ruam abang,Saya kulit naik ruam merah
Aku gatel bengi,Saya gatal pada waktu malam
Lukaku suwe mari,Saya luka lambat sembuh
Kulitku panas,Saya kulit rasa panas
Kukuku owah warna,Saya kuku berubah warna
Rambutku rontok akeh,Saya rambut gugur banyak
Aku tetep kesel sanajan turu cukup,Saya letih walaupun tidur cukup
Aku tangi awak lara kabeh,Saya bangun dengan badan sakit
Pinggulku lara,Saya sakit di bahagian pinggul
Aku angel tangi saka kursi,Saya susah bangun dari kerusi
Sikilku abot,Saya kaki rasa berat
Aku mlaku goyang,Saya jalan terhuyung-hayang
Aku kerep ilang imbangan,Saya sering hilang imbangan
Tanganku lemes,Saya tangan lemah
Aku ora iso nyekel kuwat,Saya tidak boleh pegang barang kuat
Aku butuh bantuan mlaku,Saya perlukan bantuan berjalan
Aku butuh tongkat,Saya perlu tongkat
Aku tiba kaping loro dina iki,Saya jatuh dua kali hari ini
Dengkulku luka,Saya luka di lutut
Aku lara nek munggah tangga,Saya sakit bila naik tangga
Aku angel mudhun tangga,Saya tidak boleh turun tangga
Sendiku muni,Saya sendi berbunyi
Awakku kaku,Saya badan rasa kaku
Aku butuh pijet,Saya perlukan urutan
Aku butuh terapi otot,Saya perlu rawatan otot
Aku teka awal neng klinik,Saya datang awal ke klinik
Aku ngenteni suwe dina iki,Saya menunggu lama hari ini
Aku nomorku isih adoh,Saya nombor masih jauh
Klinik kebak,Saya klinik sangat penuh
Rumah sakit rame,Saya hospital sesak
Perawat bantu banget,Saya jururawat sangat membantu
Dokter ramah,Saya doktor ramah
Perawatan cepet,Saya rawatan cepat
Obate manjur,Saya ubat berkesan
Aku larane mudhun,Saya sakit semakin berkurang
Awakku luwih kuat,Saya badan semakin kuat
Aku iso mlaku maneh,Saya boleh berjalan semula
Aku iso mangan maneh,Saya boleh makan semula
Aku turu luwih nyenyak,Saya tidur lebih lena
Aku bali kerja,Saya sudah kembali bekerja
Aku isih butuh perawatan,Saya masih perlu rawatan
Aku bakal terus ngombe obat,Saya akan terus makan ubat
Aku manut jadwal obat,Saya ikut jadual ubat
Aku ora lali ngombe obat,Saya tidak lupa makan ubat
Aku kudu periksa maneh,Saya perlu datang pemeriksaan lagi
Aku bakal nggawe janji maneh,Saya akan buat temu janji seterusnya
Aku bakal njaga kesehatan,Saya akan jaga kesihatan diri
Muga ora lara maneh,Saya harap tidak sakit lagi
Aku krasa nyeri nusuk neng dada,Saya rasa sakit menusuk di dada
Aku angel ambegan nek turu,Saya sukar bernafas ketika baring
Awakku krasa lemes banget,Saya badan terasa sangat lemah
Aku ora iso mlaku adoh,Saya tidak boleh berjalan jauh
Aku kerep dumadakan mumet,Saya kerap rasa pening tiba-tiba
Igaku lara,Saya sakit di bahagian rusuk
Dada kiwa krasa kenceng,Saya rasa tekanan di dada kiri
Aku ora iso ambegan jero,Saya tidak boleh tarik nafas dalam-dalam
Dadaku deg-degan banter,Saya dada berasa berdebar kuat
Aku krasa arep pingsan nek ngadeg,Saya rasa hendak pitam bila berdiri
Aku sesek napas bengi,Saya mengalami sesak nafas waktu malam
Aku watuk tambah parah,Saya batuk semakin teruk
Aku dahakku kuning,Saya kahak berwarna kuning
Irungku mampet siji,Saya hidung tersumbat sebelah
Tulang punggungku lara,Saya sakit pada tulang belakang
Aku ora iso lungguh lurus,Saya tidak boleh duduk tegak
Aku lara nek mbungkuk,Saya sakit bila membongkok
Awakku panas kabeh,Saya rasa panas di seluruh badan
Awakku adhem banget,Saya badan terasa sangat sejuk
Aku gemeter tanpa sebab,Saya menggigil tanpa sebab
Aku kringetan wengi akeh,Saya peluh malam yang banyak
Aku tangi teles kringet,Saya bangun basah dengan peluh
Aku ora turu nyenyak bengi iki,Saya tidak boleh tidur lena malam ini
Aku tangi merga lara,Saya sering terjaga kerana sakit
Aku ora napsu mangan babar pisan,Saya selera makan hilang sepenuhnya
Aku mung ngombe banyu,Saya hanya minum air sahaja
Aku saben mangan muntah,Saya muntah setiap kali makan
Aku diare wiwit esuk,Saya cirit-birit sejak pagi
Perutku muni banter,Saya perut berbunyi kuat
Perut tengahku lara,Saya sakit di sekitar pusat
Perutku krasa perih,Saya rasa pedih di perut
Aku kerep sendawa sakwise mangan,Saya kerap sendawa selepas makan
Aku mual terus,Saya rasa mual sepanjang masa
Ilatku kebas,Saya lidah terasa kebas
Aku ora krasa rasa,Saya tidak dapat merasa makanan
Aku tenggorokan kobong,Saya tekak terasa terbakar
Aku angel ngulu banyu,Saya sukar menelan air
Aku swara saya ilang,Saya suara semakin hilang
Aku watuk nganti dada lara,Saya batuk hingga dada sakit
Irungku getihen sithik,Saya hidung berdarah sedikit
Mripatku lara lan abang,Saya mata pedih dan merah
Aku mripat gatel sedina,Saya mata gatal sepanjang hari
Aku pandelenganku ora cetha,Saya penglihatan tidak jelas
Aku burem nek bengi,Saya nampak kabur waktu malam
Telingaku krasa kebak,Saya telinga terasa penuh
Aku ora krungu cetha,Saya kurang dengar bunyi
Telingaku lara nek turu,Saya telinga sakit waktu tidur
Aku awak gatel kabeh,Saya badan rasa gatal-gatal
Kulitku metu titik abang,Saya kulit naik bintik merah
Luka cilik dadi bernanah,Saya luka kecil jadi bernanah
Lukaku ora garing,Saya luka tidak kering
Aku butuh obat luka khusus,Saya perlukan ubat luka khas
Tanganku lara nek digerakno,Saya tangan sakit bila digerakkan
Drijiku kaku,Saya jari terasa kaku
Aku ora iso nyekel kuwat,Saya tidak boleh genggam kuat
Sikilku kebas,Saya kaki terasa kebas
Aku angel mlaku lurus,Saya sukar berjalan lurus
Aku butuh bantuan ngadeg,Saya perlukan bantuan untuk berdiri
Aku kerep kesandung,Saya sering tersandung ketika berjalan
Dengkulku lara nek munggah tangga,Saya lutut sakit bila naik tangga
Aku ora iso mlayu,Saya tidak boleh berlari
Awakku krasa abot banget,Saya badan terasa berat sangat
Mlaku sethithik wae kesel,Saya cepat penat walaupun jalan sikit
Aku butuh lungguh,Saya perlukan kerusi untuk duduk
Ototku kram,Saya mengalami kekejangan otot
Sikilku kram bengi,Saya kaki kejang waktu malam
Tanganku gemeter tanpa sebab,Saya tangan bergetar tanpa sebab
Awakku lemes banget dina iki,Saya badan terasa sangat lemah hari ini
Aku butuh bantuan cepet,Saya perlu bantuan segera
Aku teka klinik darurat,Saya datang ke klinik kecemasan
Aku langsung digawa mlebu,Saya dibawa masuk segera
Aku dipriksa cepet,Saya diperiksa dengan cepat
Aku langsung dirawat,Saya diberi rawatan segera
Aku diwenehi suntikan,Saya diberi ubat melalui suntikan
Aku diawasi perawat,Saya dipantau oleh jururawat
Aku dilebokke ruang khusus,Saya ditempatkan di bilik khas
Dokter teka mriksa,Saya doktor datang memeriksa
Aku diwenehi oksigen,Saya diberi oksigen tambahan
Aku isih kudu diawasi,Saya masih perlu pemerhatian
Aku kudu nginep rumah sakit,Saya akan tinggal di hospital
Aku bakal metu nek wis mari,Saya akan discaj selepas pulih
Aku kudu bali kanggo periksa,Saya perlu datang semula untuk pemeriksaan
Aku bakal nuruti kabeh arahan dokter,Saya akan ikut semua arahan doktor
Muga kesehatanku bali normal,Saya harap kesihatan saya kembali normal
Lamunku kebas,Saya rasa kebas di bibir
Tanganku panas,Saya tangan terasa panas
Sikilku kebas nek lungguh,Saya kaki terasa kebas waktu duduk
Ing ngisor iga lara,Saya sakit di bawah tulang rusuk
Aku ora iso turu miring,Saya tidak boleh tidur mengiring
Aku lara nek tangi saka kasur,Saya sakit bila bangun dari katil
Dadaku krasa abot bengi,Saya dada terasa berat waktu malam
Aku kringetan senajan ora panas,Saya berpeluh walaupun tidak panas
Aku deg-degan sakwise mangan,Saya rasa berdebar selepas makan
Perutku lara sakwise mangan,Saya perut sakit selepas makan
Aku ora iso mangan pedhes,Saya tidak boleh makan makanan pedas
Aku mual sakwise ngombe,Saya rasa loya selepas minum
Aku muntah esuk,Saya muntah pada waktu pagi
Aku diare bengi,Saya cirit-birit pada waktu malam
Perutku muni banter nek luwe,Saya perut berbunyi kuat waktu lapar
Perut tengenku lara,Saya sakit di bahagian kanan perut
Perut kiwaku lara,Saya sakit di bahagian kiri perut
Aku krasa wareg sanajan mangan sethithik,Saya rasa perut penuh walaupun makan sedikit
Aku konstipasi,Saya susah buang air besar
Aku berak getihen,Saya buang air besar berdarah
Aku lara nek berak,Saya rasa pedih ketika buang air besar
Aku kerep kencing awan,Saya kerap buang air kecil siang hari
Aku ora iso nahan pipis,Saya tidak boleh tahan kencing lama
Urinku ambune kuat,Saya air kencing berbau kuat
Urinku peteng,Saya air kencing berwarna gelap
Aku kencing panas,Saya rasa panas ketika kencing
Punggung ngisorku lara,Saya sakit di bahagian bawah belakang
Aku angel mbungkuk,Saya sukar membongkok ke depan
Aku lara nek muter awak,Saya rasa sakit bila berpusing badan
Awakku kaku esuk,Saya badan terasa kaku waktu pagi
Aku butuh wektu kanggo obah,Saya perlukan masa untuk bergerak
Sendiku panas,Saya sendi terasa panas
Sendiku bengkak lan lara,Saya sendi bengkak dan sakit
Aku ora iso ngeluruske sikil,Saya tidak boleh meluruskan kaki
Tanganku lara nek ngangkat barang,Saya tangan sakit bila angkat barang
Drijiku bengkak,Saya jari membengkak
Kukuku lara nek dipencet,Saya kuku sakit bila ditekan
Sikilku lara nek ngadeg suwe,Saya kaki sakit bila berdiri lama
Tlapan sikilku lara nek mlaku,Saya tapak kaki sakit waktu berjalan
Aku ora iso nganggo sepatu ketat,Saya tidak boleh pakai kasut ketat
Sikilku bengkak sore,Saya kaki bengkak waktu petang
Sikil driji mburi kebas,Saya rasa kebas di hujung jari kaki
Kulitku garing lan kasar,Saya kulit terasa kering dan kasar
Kulitku ngelupas,Saya kulit mengelupas
Lukaku gatel wektu mari,Saya luka terasa gatal semasa sembuh
Lukaku dadi ireng,Saya luka menjadi hitam
Parut lawasku lara,Saya ada parut lama yang sakit
Aku sensitif sabun,Saya kulit sensitif pada sabun
Raum muncul sakwise adus,Saya ruam muncul selepas mandi
Kulitku krasa kobong,Saya kulit terasa terbakar
Aku butuh salep khusus,Saya perlukan krim kulit khas
Rambutku rontok nek adus,Saya rambut gugur waktu mandi
Kulit endhasku gatel,Saya kulit kepala gatal
Aku ketombean parah,Saya ada kelemumur teruk
Mripatku garing,Saya mata terasa kering
Mripatku cepet kesel,Saya mata cepat letih
Aku ora iso ndelok layar suwe,Saya tidak boleh lihat skrin lama
Aku mripat lara nek maca,Saya mata pedih bila baca
Aku ndelok titik ireng,Saya nampak titik hitam
Aku pandelenganku dobel,Saya penglihatan berganda
Telingaku lara nek ngulu,Saya telinga sakit bila menelan
Kupingku metu cairan,Saya telinga keluar cecair
Aku ora krungu cetha tengen,Saya kurang dengar di sebelah kanan
Telingaku krasa kenceng,Saya rasa tekanan dalam telinga
Kupingku muni terus,Saya bunyi berdengung tidak hilang
Tenggorokanku lara esuk,Saya tekak sakit waktu pagi
Tenggorokanku garing bengi,Saya tekak terasa kering waktu malam
Aku watuk garing,Saya batuk kering tanpa kahak
Aku watuk luwih parah nek turu,Saya batuk lebih teruk bila baring
Aku ambegan muni,Saya nafas berbunyi
Aku cepet sesek nek mlaku,Saya cepat sesak bila berjalan
Dadaku lara nek ambegan,Saya dada sakit bila tarik nafas
Atiku deg-degan ora teratur,Saya jantung berdegup tidak sekata
Aku kesel sakwise mlaku,Saya rasa lemah selepas berjalan
Aku cepet kesel nek munggah tangga,Saya cepat penat bila naik tangga
Aku ora iso mlayu adoh,Saya tidak boleh berlari jauh
Aku krasa abot sakwise mangan,Saya badan terasa berat selepas makan
Aku kerep nguap,Saya sering menguap sepanjang hari
Aku ngantuk terus,Saya rasa mengantuk sepanjang masa
Aku angel fokus merga lara,Saya sukar fokus kerana sakit
Aku butuh istirahat total,Saya perlukan rehat sepenuhnya
Aku teka awal kanggo perawatan,Saya datang awal untuk rawatan
Aku nunggu ruang tunggu,Saya menunggu di ruang menunggu
Aku dipanggil mlebu ruang dokter,Saya dipanggil masuk ke bilik doktor
Aku lungguh kanggo periksa,Saya duduk untuk pemeriksaan
Aku dicek tekanan getih,Saya diperiksa tekanan darah
Aku dicek suhu,Saya suhu badan saya diambil
