source,target
我關節有聲,Saya sendi berbunyi
我身體僵硬,Saya badan rasa kaku
我要按摩,Saya perlukan urutan
我要治療肌肉,Saya perlu rawatan otot
我早咗嚟診所,Saya datang awal ke klinik
我今日等咗好耐,Saya menunggu lama hari ini
我仲未到號,Saya nombor masih jauh
診所好多人,Saya klinik sangat penuh
醫院好逼,Saya hospital sesak
護士好幫手,Saya jururawat sangat membantu
醫生好好人,Saya doktor ramah
治療好快,Saya rawatan cepat
啲藥有效,Saya ubat berkesan
痛少咗,Saya sakit semakin berkurang
身體強咗,Saya badan semakin kuat
我可以再行路,Saya boleh berjalan semula
我可以食嘢,Saya boleh makan semula
我瞓得好啲,Saya tidur lebih lena
我返工,Saya sudah kembali bekerja
我仲要治療,Saya masih perlu rawatan
我會繼續食藥,Saya akan terus makan ubat
我按時間食藥,Saya ikut jadual ubat
我冇忘記食藥,Saya tidak lupa makan ubat
我要再檢查,Saya perlu datang pemeriksaan lagi
我會預約下一次,Saya akan buat temu janji seterusnya
我會照顧自己健康,Saya akan jaga kesihatan diri
希望唔再病,Saya harap tidak sakit lagi
我胸口有刺痛,Saya rasa sakit menusuk di dada
我瞓低呼吸困難,Saya sukar bernafas ketika baring
我身體好虛弱,Saya badan terasa sangat lemah
我行唔到遠,Saya tidak boleh berjalan jauh
我成日突然暈,Saya kerap rasa pening tiba-tiba
我肋骨痛,Saya sakit di bahagian rusuk
我左胸有壓力,Saya rasa tekanan di dada kiri
我唔可以深呼吸,Saya tidak boleh tarik nafas dalam-dalam
我心口跳得好快,Saya dada berasa berdebar kuat
我企起身想暈,Saya rasa hendak pitam bila berdiri
我夜晚呼吸困難,Saya mengalami sesak nafas waktu malam
我咳越嚟越嚴重,Saya batuk semakin teruk
我啲痰黃色,Saya kahak berwarna kuning
我一邊鼻塞,Saya hidung tersumbat sebelah
我脊骨痛,Saya sakit pada tulang belakang
我坐唔直,Saya tidak boleh duduk tegak
我彎腰會痛,Saya sakit bila membongkok
我全身發熱,Saya rasa panas di seluruh badan
我全身好凍,Saya badan terasa sangat sejuk
我無啦啦震,Saya menggigil tanpa sebab
我夜晚流好多汗,Saya peluh malam yang banyak
我瞓醒成身汗,Saya bangun basah dengan peluh
我今晚瞓唔好,Saya tidak boleh tidur lena malam ini
我痛到醒,Saya sering terjaga kerana sakit
我完全冇胃口,Saya selera makan hilang sepenuhnya
我淨係飲水,Saya hanya minum air sahaja
我一食就嘔,Saya muntah setiap kali makan
我朝早開始肚瀉,Saya cirit-birit sejak pagi
我肚響得好大聲,Saya perut berbunyi kuat
我肚臍附近痛,Saya sakit di sekitar pusat
我肚有灼熱感,Saya rasa pedih di perut
我食完成日打嗝,Saya kerap sendawa selepas makan
我成日反胃,Saya rasa mual sepanjang masa
我條脷麻痺,Saya lidah terasa kebas
我食唔出味,Saya tidak dapat merasa makanan
我喉嚨好似燒,Saya tekak terasa terbakar
我吞水困難,Saya sukar menelan air
我把聲越嚟越細,Saya suara semakin hilang
我咳到胸痛,Saya batuk hingga dada sakit
我流少少鼻血,Saya hidung berdarah sedikit
我眼痛又紅,Saya mata pedih dan merah
我眼好痕,Saya mata gatal sepanjang hari
我睇嘢唔清,Saya penglihatan tidak jelas
我夜晚睇嘢模糊,Saya nampak kabur waktu malam
我耳仔塞住,Saya telinga terasa penuh
我聽力差,Saya kurang dengar bunyi
我瞓覺耳仔痛,Saya telinga sakit waktu tidur
我全身痕,Saya badan rasa gatal-gatal
我皮膚有紅點,Saya kulit naik bintik merah
細傷口變有膿,Saya luka kecil jadi bernanah
傷口唔乾,Saya luka tidak kering
我要特別傷口藥,Saya perlukan ubat luka khas
我手郁會痛,Saya tangan sakit bila digerakkan
我手指好硬,Saya jari terasa kaku
我握唔實,Saya tidak boleh genggam kuat
我腳麻痺,Saya kaki terasa kebas
我行路唔直,Saya sukar berjalan lurus
我起身要人幫,Saya perlukan bantuan untuk berdiri
我行路成日絆倒,Saya sering tersandung ketika berjalan
我上樓梯膝頭痛,Saya lutut sakit bila naik tangga
我跑唔到,Saya tidak boleh berlari
我全身好重,Saya badan terasa berat sangat
行少少都攰,Saya cepat penat walaupun jalan sikit
我要坐低,Saya perlukan kerusi untuk duduk
我抽筋,Saya mengalami kekejangan otot
我夜晚腳抽筋,Saya kaki kejang waktu malam
我手無啦啦震,Saya tangan bergetar tanpa sebab
我今日好虛弱,Saya badan terasa sangat lemah hari ini
我需要即刻幫助,Saya perlu bantuan segera
我嚟急症診所,Saya datang ke klinik kecemasan
我即刻入去,Saya dibawa masuk segera
我好快被檢查,Saya diperiksa dengan cepat
我即刻接受治療,Saya diberi rawatan segera
我打咗針,Saya diberi ubat melalui suntikan
我畀護士睇住,Saya dipantau oleh jururawat
我入咗特別房,Saya ditempatkan di bilik khas
醫生嚟檢查,Saya doktor datang memeriksa
我有氧氣,Saya diberi oksigen tambahan
我仲要觀察,Saya masih perlu pemerhatian
我要留院,Saya akan tinggal di hospital
好返就出院,Saya akan discaj selepas pulih
我要再嚟檢查,Saya perlu datang semula untuk pemeriksaan
我會聽醫生講,Saya akan ikut semua arahan doktor
希望我健康正常返,Saya harap kesihatan saya kembali normal
我嘴唇麻痺,Saya rasa kebas di bibir
我隻手好熱,Saya tangan terasa panas
我坐低腳麻,Saya kaki terasa kebas waktu duduk
我肋骨下面痛,Saya sakit di bawah tulang rusuk
我側瞓會痛,Saya tidak boleh tidur mengiring
我起身會痛,Saya sakit bila bangun dari katil
我夜晚胸口重,Saya dada terasa berat waktu malam
我唔熱都流汗,Saya berpeluh walaupun tidak panas
我食完心跳快,Saya rasa berdebar selepas makan
我食完肚痛,Saya perut sakit selepas makan
我唔食得辣,Saya tidak boleh makan makanan pedas
我飲完想嘔,Saya rasa loya selepas minum
我朝早嘔,Saya muntah pada waktu pagi
我夜晚肚瀉,Saya cirit-birit pada waktu malam
我肚餓時好響,Saya perut berbunyi kuat waktu lapar
我右邊肚痛,Saya sakit di bahagian kanan perut
我左邊肚痛,Saya sakit di bahagian kiri perut
食少少都飽,Saya rasa perut penuh walaupun makan sedikit
我便秘,Saya susah buang air besar
我大便有血,Saya buang air besar berdarah
我大便會痛,Saya rasa pedih ketika buang air besar
我日頭成日去廁所,Saya kerap buang air kecil siang hari
我忍唔到尿,Saya tidak boleh tahan kencing lama
我尿好臭,Saya air kencing berbau kuat
我尿色深,Saya air kencing berwarna gelap
我小便會辣,Saya rasa panas ketika kencing
我下背痛,Saya sakit di bahagian bawah belakang
我彎唔到身,Saya sukar membongkok ke depan
我轉身會痛,Saya rasa sakit bila berpusing badan
我朝早好僵硬,Saya badan terasa kaku waktu pagi
我郁要時間,Saya perlukan masa untuk bergerak
我關節熱,Saya sendi terasa panas
我關節腫痛,Saya sendi bengkak dan sakit
我伸唔直腳,Saya tidak boleh meluruskan kaki
我拎嘢會痛,Saya tangan sakit bila angkat barang
我手指腫,Saya jari membengkak
我指甲痛,Saya kuku sakit bila ditekan
我企耐腳痛,Saya kaki sakit bila berdiri lama
我行路腳底痛,Saya tapak kaki sakit waktu berjalan
我著唔到緊鞋,Saya tidak boleh pakai kasut ketat
我黃昏腳腫,Saya kaki bengkak waktu petang
我腳趾尾麻,Saya rasa kebas di hujung jari kaki
我皮膚乾又粗,Saya kulit terasa kering dan kasar
我皮膚甩皮,Saya kulit mengelupas
傷口好痕,Saya luka terasa gatal semasa sembuh
傷口變黑,Saya luka menjadi hitam
舊疤會痛,Saya ada parut lama yang sakit
我對肥皂敏感,Saya kulit sensitif pada sabun
沖涼後出疹,Saya ruam muncul selepas mandi
我皮膚似燒,Saya kulit terasa terbakar
我要特別藥膏,Saya perlukan krim kulit khas
沖涼時甩頭髮,Saya rambut gugur waktu mandi
我頭皮痕,Saya kulit kepala gatal
我好多頭皮,Saya ada kelemumur teruk
我眼乾,Saya mata terasa kering
我眼好易攰,Saya mata cepat letih
我睇唔到耐屏幕,Saya tidak boleh lihat skrin lama
我睇書會痛,Saya mata pedih bila baca
我見到黑點,Saya nampak titik hitam
我睇嘢重影,Saya penglihatan berganda
我吞嘢耳痛,Saya telinga sakit bila menelan
我耳仔流水,Saya telinga keluar cecair
我右邊聽唔清,Saya kurang dengar di sebelah kanan
我耳有壓力,Saya rasa tekanan dalam telinga
耳鳴不停,Saya bunyi berdengung tidak hilang
我朝早喉嚨痛,Saya tekak sakit waktu pagi
我夜晚喉嚨乾,Saya tekak terasa kering waktu malam
我乾咳,Saya batuk kering tanpa kahak
我瞓低咳得犀利,Saya batuk lebih teruk bila baring
我呼吸有聲,Saya nafas berbunyi
我行路好快喘,Saya cepat sesak bila berjalan
我吸氣會痛,Saya dada sakit bila tarik nafas
我心跳唔規律,Saya jantung berdegup tidak sekata
行完好攰,Saya rasa lemah selepas berjalan
上樓梯好攰,Saya cepat penat bila naik tangga
我跑唔到遠,Saya tidak boleh berlari jauh
食完好重,Saya badan terasa berat selepas makan
我成日打呵欠,Saya sering menguap sepanjang hari
我成日想瞓,Saya rasa mengantuk sepanjang masa
我痛到唔集中,Saya sukar fokus kerana sakit
我要完全休息,Saya perlukan rehat sepenuhnya
我早嚟睇醫生,Saya datang awal untuk rawatan
我喺候診室等,Saya menunggu di ruang menunggu
我被叫入房,Saya dipanggil masuk ke bilik doktor
我坐低檢查,Saya duduk untuk pemeriksaan
我量血壓,Saya diperiksa tekanan darah
我量體溫,Saya suhu badan saya diambil
醫生講咗診斷,Saya doktor memberi diagnosis
我攞咗一星期藥,Saya diberi ubat untuk seminggu
我食完飯先食藥,Saya perlu makan ubat selepas makan
唔好就再嚟,Saya perlu kembali jika tidak pulih
我會聽建議,Saya akan ikut semua nasihat
希望完全好返,Saya harap cepat sembuh sepenuhnya
我喉嚨有熱感,Saya rasa panas di tekak
我成日咳,Saya batuk berterusan sepanjang hari
我把聲變細,Saya suara jadi perlahan
我講唔到大聲,Saya tidak boleh bercakap kuat
我下巴下面痛,Saya sakit di bawah dagu
我個下巴繃緊,Saya rahang terasa tegang
我開唔到口大,Saya sukar membuka mulut luas
我咬嘢會痛,Saya gigi sakit bila kunyah
食物卡喉嚨,Saya makanan tersekat di tekak
食完胸口辣,Saya rasa pedih di dada selepas makan
晚餐後肚重,Saya perut rasa berat selepas makan malam
我成日打大嗝,Saya kerap sendawa kuat
食完都覺得空,Saya perut rasa kosong walaupun makan
夜晚肚臍附近痛,Saya sakit di sekitar pusat waktu malam
大便唔正常,Saya buang air besar tidak teratur
大便好硬,Saya najis keras dan kering
成日稀便,Saya najis cair berulang kali
肛門痛,Saya rasa pedih di dubur
忍唔到大便,Saya sukar menahan buang air besar
少量但成日去,Saya kencing sedikit tetapi kerap
尿唔多,Saya kencing tidak lawas
膀胱痛,Saya rasa sakit di pundi kencing
尿有泡,Saya air kencing berbuih
坐耐腰痛,Saya pinggang sakit bila duduk lama
起身會痛,Saya sakit bila berdiri dari duduk
脊骨繃緊,Saya tulang belakang terasa tegang
向後彎會痛,Saya tidak boleh membongkok ke belakang
朝早好重,Saya badan terasa berat waktu pagi
郁會有聲,Saya sendi berbunyi bila bergerak
朝早手痛,Saya tangan sakit waktu pagi
手指難郁,Saya jari sukar digerakkan
腳酸,Saya kaki terasa lenguh
行完大腿痛,Saya paha sakit selepas berjalan
夜晚小腿抽筋,Saya betis kejang waktu malam
腳底熱,Saya tapak kaki terasa panas
夜晚腳凍,Saya kaki terasa sejuk waktu malam
行遠要停,Saya sukar berjalan jauh tanpa rehat
容易失平衡,Saya mudah hilang imbangan
手好重,Saya tangan terasa berat
拎唔到重嘢,Saya tidak boleh angkat barang berat
皮膚變厚,Saya kulit terasa tebal
皮膚變黑,Saya kulit menjadi gelap di kawasan tertentu
傷口熱,Saya luka terasa panas
傷口跳痛,Saya luka terasa berdenyut
容易瘀,Saya kulit mudah lebam
皮膚有黑斑,Saya ada tompok hitam di kulit
曬太陽會敏感,Saya kulit sensitif pada matahari
掂會痛,Saya kulit terasa pedih bila disentuh
頭髮甩多咗,Saya rambut gugur semakin banyak
頭皮痛,Saya kulit kepala sakit bila disentuh
眼好重,Saya mata terasa berat
眼乾得快,Saya mata cepat kering
睇書模糊,Saya mata kabur waktu membaca
睇近嘢困難,Saya sukar fokus pada objek dekat
耳仔痕,Saya telinga terasa gatal
郁會痛,Saya telinga sakit bila bergerak
耳仔熱,Saya telinga terasa panas
大聲會痛,Saya bunyi kuat menyakitkan telinga
喉嚨緊,Saya tekak terasa ketat
朝早咳得勁,Saya batuk lebih kuat waktu pagi
講嘢會咳,Saya batuk bila bercakap
呼吸短,Saya nafas pendek-pendek
難吸氣,Saya sukar menarik nafas panjang
夜晚胸悶,Saya dada terasa sesak waktu malam
休息都心跳快,Saya jantung berdegup laju waktu rehat
成日攰,Saya rasa penat sepanjang hari
日頭想瞓,Saya cepat mengantuk siang hari
冇精神,Saya tidak cukup tenaga
要多啲瞓,Saya perlukan lebih tidur
起身好重,Saya bangun dengan badan berat
難起身,Saya sukar bangun pagi
我遲咗嚟診所,Saya datang lewat ke klinik
等叫號,Saya menunggu nombor dipanggil
慢慢入房,Saya masuk bilik rawatan dengan perlahan
坐低檢查,Saya duduk untuk diperiksa doktor
醫生問症狀,Saya doktor bertanya simptom saya
畀咗新藥,Saya diberi ubat baru untuk dicuba
瞓前食藥,Saya perlu makan ubat sebelum tidur
避免油膩食物,Saya perlu elakkan makanan berminyak
要飲暖水,Saya perlu minum air suam
下星期再嚟,Saya perlu datang semula minggu depan
跟醫生指示,Saya akan patuhi semua arahan doktor
希望好轉,Saya harap keadaan saya semakin baik
我頭有跳痛,Saya mengalami sakit berdenyut di kepala
我額頭好似有壓力,Saya rasa tekanan kuat di dahi
